document_id,snippet_id,snippet,group_folder,code_lev0,code_lev1,code_lev2
Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Reference 1,except for graminoid species (rs = 0.26) with p-values < 0.05,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
"Monitoring Vegetation Dynamics at a Tidal Marsh Restoration Site~ Integrating Field Methods, Remote Sensing and Modeling",Reference 1,"We found field methods more advantageous for distinguishing between species in cover assessments, which enabled us to evaluate the upper marsh boundary in relation to tide data (Electronic Supplement 1, Characterization of Inundation Across Elevations).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Multisensor data to derive peatland vegetation communities using a fixed-wing unmanned aerial vehicle,Reference 1,"The less strongly represented classes such as Calamagrostis, Epilobium, Glyceria and Juncus have much lower PA values. For instance, Calamagrostis, Glyceria and Juncus are ranging between 40 a and 65% meaning that many pixels were misclassiﬁed for these classes. Calamagrostis and Juncus pixels were often assigned to Carex I. Glyceria and Juncus pixels were often assigned to Typha. Thismismatch is also reﬂected in the class Carex I, where theUA is lower than the PA, which means that pixels of other classes are mistakenly assigned to this class",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Unmanned Aircraft System (UAS) Structure-From-Motion (SfM) for Monitoring the Changed Flow Paths and Wetness in Minerotrophic Peatland Restoration,Reference 1,"On average, each of our tie-points had 5.7 projections. The modelled ground surface under dense tree canopy gave poor accuracy, and thus we cannot recommend SfM for mapping the grounds in such environments ([18] reported similar ﬁndings)",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 1,"While an improvement over 1-m resolution, we show that 1-ft resolution imagery produced a low classification accuracy for this heterogeneous wetland site. Furthermore, the temporal availability of these datasets is limited due to a high cost of acquisition.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 2,"The accuracy was further improved when the classification was limited to major species identification, suggesting that adding more species can increase confusion between species in the classification, which agrees with the findings in Zhang and Xie (2013) who classified a large number of wetland plant species using hyperspectral data.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 3,"While this mapping procedure was less successful in capturing the spatial extent ofthese species compared to the native ones, the species maps showed general agreement on the spatial location of the larger invasive communities. For further application of this method, we recommend investigation into variables that can improve the classification of these invasive species due to their importance in evaluating restoration efforts.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 1,Some misclassification occurred between shrub and grass. This was attributed to several locations with both grasses and shrub having heights close to the 0.50 m threshold used to discriminate these two land-cover classes.,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 2,"The main reason for this was the poor quality of the point cloud generation and derived DSM, which prevented several trees from being automatically mapped.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Using Unmanned Aerial Vehicles to assess the rehabilitation performance of open cut coal mines,Reference 3,"However, the producer accuracy of mapped shrub was generally low (<39%), as several sites with shrub were incorrectly classified due to tall grass and similar multispectral characteristics between shrub and grass in some places with sparse cover. Grass cover was misclassified as senescent vegetation in some cases in images 1 (15 out of 38) and 2 (22 out of 54), which was often caused by variations in background soil type and colour.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),Reference 1,"misclassiﬁcation of trees and shrubs because those classes have similar band information in some areas. Another is the case of bare lands and water, which fall into the shadow class, because some areas with casting shadows have probably had similarity with the darker shadow areas; however, the result is good enough to be interpreted as representative of the area.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Negative sentiment
Determination of Riparian Vegetation Biomass from an Unmanned Aerial Vehicle (UAV),Reference 1,Models presented in Table 4 instead show representative results (the greatest correlation is R2 = 0.63) where such values could be a direct consequence of the high vegetation variability in terms of the species and size of trees (Section 3.1).,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 1,"The structural contrast between these two invasive species and the native species and the ecosystem they are infesting facilitates their identification through remote sensing techniques. To test the robustness of our methodology, we recommend evaluating these species across a greater range of sites and ecosystems to capture regional variability of these invasive species as well as the ecosystems they are invading. In addition, we propose evaluating additional invasive plant species that are less distinct from their biotic and abiotic surroundings.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Reference 1,aboveground biomass is moderately correlated 473 with spectral diversity (r = 0.43),Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Monitoring ecological characteristics of a tallgrass prairie using an unmanned aerial vehicle,Reference 1,"Models based on each moment and a model with all moments were estimated using ridge regression with model training based on a subset of 15 sites. Each tested for signiﬁcant error reduction against a null model. We predicted mean graminoid cover, mean dead aboveground biomass, mean dry mass, and mean soil K with signiﬁcant reductions in cross-validated root mean square error",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Monitoring height and greenness of non-woody floodplain vegetation with UAV time series,Reference 1,We have shown that low-cost UAV-derived nDSMs can be used to obtain the height of nonwoody ﬂoodplain vegetation in leaf-on conditions with an accuracy which is acceptable for many applications.,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Monitoring opencast mine restorations using Unmanned Aerial System (UAS) imagery,Reference 1,"The confusion matrix showed a good accuracy when splitting mine wastes and topsoil (N97%), tree cover was mapped with good results (N96%), and most of the confusion was found between grass and shrub vegetation, due principally to the intrinsic structural and spectral diversity of these categories (cf. Table S6 in the Supplementary materials).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,Reference 1,"We showed that the diversity effects on stand structure and AGB were efficiently captured by lidar-derived variables, which open promising perspectives for the large-scale monitoring of hyper-diverse tropical forest functioning.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,Reference 2,"By computing the spectral angle among the treatments, we showed that the spectral variability increased with diversity, which broadly agrees with the spectral variation hypothesis (Palmer et al. 2002). This hypothesis states that the spectral heterogeneity is induced by variations in habitat and has been used to assess forest canopy diversity with hyperspectral data (Féret and Asner, 2014). Our results suggested that tree diversity itself impacts spectral heterogeneity.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Species Classification of Automatically Delineated Regenerating Conifer Crowns Using RGB and Near-Infrared UAV Imagery,Reference 1,Near-infrared (NIR) information provided by specialized UAV sensors may improve classiﬁcation accuracy at the cost of added operational complexity;,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
UAV-Hyperspectral Imaging to Estimate Species Distribution in Salt Marshes~ A Case Study in the Cadiz Bay (SW Spain),Reference 1,"The accuracy is lower, although still signiﬁcant for the remaining classes (Tables A1–A7). The spectral signature of the transition zone (vegetation 3 class), which is a variable mixture of plant species and, therefore, a variable mix of spectra, makes this class the lowest in accuracy (63.16%)",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 1,"Imagery with increased spectral resolution, such as hyperspectral data, is ideal for improved species classification, yet also remains cost prohibitive.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Unmanned Aircraft System Photogrammetry for Mapping Diverse Vegetation Species in a Heterogeneous Coastal Wetland,Reference 2,"Li et al. 2017; Cao et al. 2018;Prošek and Šímová 2019). As previously stated, the vertical variables used in this study were calculated using the level 1 DSM and therefore were absolute height above NAVD88. As the study area was densely vegetated, we were not able to generate an accurate DEM and subsequent canopy height model (CHM), which may improve the species mapping procedure. Moreover, we did not perform any data correction on the level 1 DSM meaning it likely contained a fair amount of noise and error. As applications in UAS photogrammetry grow, tools and methods for UASderived photogrammetric point cloud filtering, classification, and interpolation are emerging.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Visualizing the Spatiotemporal Trends of Thermal Characteristics in a Peatland Plantation Forest in Indonesia~ Pilot Test Using Unmanned Aerial Systems (UASs),Reference 1,"If the oxidation process is continuously increasing with the temperature trends shown by Jauhiainen et al. [11] and Hilasvuori et al. [12], then with respect to the temperature of the peat in the site, in the morning and night, the majority of the area is more than 25◦ C, and in the afternoon, it can even peak to 50◦ C. If so, then the progress of the decomposition is accelerating more than expected, and there is a possibility of underestimating the possible emission rates of the peat areas",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Monitoring Young Tropical Forest Restoration Sites~ How Much to Measure~,Reference 1,"For richness, we found that a reduction in sampling area or units would lead to a relevant decrease in the number of species surveyed. If we had more sample units in the original sampling, more species would certainly be found, since richness is highly sensitive to sample area. Tropical forests, as the Atlantic Forest patches we studied, are biodiversity-rich ecosystems with over 100 species per hectare (Putz & Redford, 2010), with a great contribution of rare species in richness levels (Caiafa & Martins, 2010; Phillips & Miller, 2002). Therefore, reaching an acceptable sampling error for species richness would require the use of a high number of plots, which would imply spending more resources in monitoring.",d studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
Sampling forest tree regeneration with a transect approach,Reference 1,. H�w�v���� ��� ��duc� ��h� ����u��� ������ ��� � �����u��� ��h� �������c�� �������h ��d ���� ��h� ����� ��z� �h�u�d b� �dju����d �cc��d� ���� ��� ��h� h����h�� �� ��������������.,d studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,Reference 1,"Trait-based measures of FD tended to be more predictable and less variable than CWM trait values in this experiment, but both trait-based metrics were less variable than taxonomic composition",d studies,QUALITY,ACC (Accuracy of information),ACC - Neutral sentiment
3D-CNN based UAV hyperspectral imagery for grassland degradation indicator ground object classification research,Reference 1,"The classification accuracy of the GDIF-3D-CNN model is good for constructive species and dominant species, which play a controlling role in degraded grasslands",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
A robust object-based woody cover extraction technique for monitoring mine site revegetation at scale in the monsoonal tropics using multispectral RPAS imagery from different sensors,Reference 1,". Although only an arbitrary spatial unit, the 10×10m cell objects provide an assessment of proportional cover across the site at a scale that is capable of detecting ﬁne scale change. The strong linear relationship between object-based proportional woody cover and the manually derived cover estimates shows that this method is an eﬀective means for collecting woody cover information over an entire site. The detection of change at the appropriate scale enables the focus of management activities on targeted areas that require remediation.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Aboveground biomass estimation of wetland vegetation at the species level using unoccupied aerial vehicle RGB imagery,Reference 1,"The validation results showed that the overall accuracy was more than 90.7%. Z. latifolia had fewer misclassiﬁcations and omission classiﬁcations, with both the PA and UA exceeding 90%, which was considered to meet the experimental requirements of subsequent AGB inversion.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Aboveground biomass estimation of wetland vegetation at the species level using unoccupied aerial vehicle RGB imagery,Reference 2,"The quadratic model constructed by CIVE had the highest modeling R2 (0.79) which was higher than that of the quadratic model constructed by ExG (0.78) and COM2 (0.75). According to the accuracy validation results in Figure 6, CIVE was the best vegetation index for the AGB inversion of Z. latifolia. The",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Assessing the status of forest regeneration using digital aerial photogrammetry and unmanned aerial systems,Reference 1,"Our results show similarities with other studies where analogous classiﬁcation methodologies were employed for large-scale land-cover classiﬁcations in Canada (Powers et al. 2015). These results further illustrate the potential of incorporating UAS acquired imagery for forest management purposes. The methodology was successful at diﬀerentiating, classifying, and detailing forest cover for stands of diﬀerent regeneration ages and geographical locations (Table 3, 4).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Augmenting size models for Pinus strobiformis seedlings using dimensional estimates from unmanned aircraft systems,Reference 1,Our method presented a workﬂow for accurate and precise de- tection ofseedling mortality using UAS.,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Reference 1,"The CODA accuracy in diﬀerent regions of the GGA was not very signiﬁcant, as shown in Figure 6a, ranging from 86.7% to 93.2% (standard deviation: 1.44%). Since the GGA covers shrubs in diﬀerent growth stages and diﬀerent sizes, CODA had a vigorous ability to recognize various shrubs. The linear regression result is shown in Figure 6b: as the shrub count increased, the accuracy variation became lower continuously, and the accuracy had an inevitable downward trend (where the slope was −9.55). For example, the standard deviation of the CODA accuracy in the GGA below 500 shrubs was 1.97%, and average accuracy was 90.21%, whereas the standard deviation of the accuracy in the area above 500 shrubs was 1.12%, and average accuracy was 89.85%. This phenomenon was most likely because the likelihood of contiguous shrubs increased with the increase of shrubs, and the Hough circles detection method was challenging to count correctly, which resulted in a decrease in the CODA accuracy",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Automatic Identification of Shrub-Encroached Grassland in the Mongolian Plateau Based on UAS Remote Sensing,Reference 2,"The accuracy results showed that there were 25 and 15 commissions in TSA and DSA respectively, and the extraction accuracy of the DSA was signiﬁcantly higher than that of the TSA, which may be due to the more complex shrub distribution in typical grasslands, as shown in Table 6. Table 6. Accuracy of CODA shrub identiﬁcation results in the TSA and DSA. Location Recognized Count Sample Count Commission Count Accuracy TSA 576 DSA 2518 200 200 25 15 87.5% 92.5%",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Comparison of Image Endmember- and Object-Based Classification of Very-High-Spatial-Resolution Unmanned Aircraft System (UAS) Narrow-Band Images for Mapping Riparian Forests and Other Land Covers,Reference 1,Various factors likely affect the accuracies of the object- and endmember-based classi- ﬁcations. The relatively high overall classiﬁcation accuracies for the object-based classiﬁcations generated in this study may follow from the fact that we utilize a relatively large number of samples for training in our workﬂow/rule set. With,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Reference 1,"In our study area, the accuracy of DTMs in steppes was better for DTMLIDAR (with RMSE of 0.12 m) but DTMWINTER also achieved a very good result (with RMSE of 0.21 m). DTMWINTER error was skewed slightly positively. Positive elevation errors can be attributed to the effect of short vegetation, which is often misclassified as ground by the filtering algorithms due to the small height difference between the vegetation and terrain (Meng, Currit, & Zhao, 2010).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Comparison of RGB and Multispectral Unmanned Aerial Vehicle for Monitoring Vegetation Coverage Changes on a Landslide Area,Reference 1,The evaluation of the performance of each UAV showed that the Multispectral UAV delivered more consistent results for every class,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Development of an Automated Monitoring Platform for Invasive Plants in a Rare Great Lakes Ecosystem Using Uncrewed Aerial Systems and Convolutional Neural Networks,Reference 1,Our automated monitoring platform represents a novel method for using UAS and machine learning to efficiently and accurately monitor invasive plant species within a rare and Great Lakes endemic coastal ecosystem.,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
EFFECT OF TEXTURAL FEATURES FOR LANDCOVER CLASSIFICATION OF UAV MULTISPECTRAL IMAGERY OF A SALT MARSH RESTORATION SITE,Reference 1,"We achieved overall validation accuracies greater than 90.0 % for both classifications, but the accuracy was slightly lower when we omitted textural features (91.2 %; Table 6) than when we included them (96.8 %; Table 6).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Reference 1,"Each of the vegetation mapping approaches had a comparable accuracy; for a selected weed management and planting area, the overall accuracies were 82 %, 91 % and 85 % respectively for the pixel based image classiﬁcation, the visual interpretation / digitisation and the CNN machine learning algorithm. At the",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Reference 2,Discussion,Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
"Evaluating techniques for mapping island vegetation from unmanned aerial vehicle (UAV) images~ Pixel classification, visual interpretation and machine learning approaches",Reference 3,"The pixel-based image classiﬁcations accurately summarised vege- tation cover for the full areal extent of Big Island (across the four surveys, accuracies ranged from 74 to 85 %)",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Extraction and monitoring of vegetation coverage based on uncrewed aerial vehicle visible image in a post gold mining area,Reference 1,"Fifty regions of interest (ROIs) with non-vegetation and ﬁfty ROIs with vegetation were uniformly selected to verify the classiﬁcation accuracy. The overall accuracies of the typical and validation quadrats were 99.99% and 99.39%, respectively.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Fine scale plant community assessment in coastal meadows using UAV based multispectral data,Reference 1,"classification accuracy for each method is shown in table 3 and the maps obtained from different classification methods are shown in fig. 3. The overall classification accuracy was highest for the Random Forest algorithm with 13 vegetation indices as input variables, with a Fleiss kappa coefficient of 0.89.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Forest restoration monitoring through digital processing of high resolution images,Reference 1,"No signiﬁcant diﬀerence was found when comparing the sensors (LIDAR or UAV camera) using RF algorithm. Therefore, regardless the 9.78 LIDAR RF Área (%) B.P. Reis et al. Ecological Engineering 127 (2019) 178–186 method choice, good results are expected to be obtained when RF is used. In case of ML, there was signiﬁcant diﬀerence between the methods, so UAV images presented better results than LIDAR.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Reference 1,"To further illustrate the recognition ability of the proposed model for desert grassland features, the latest deep learning models on grassland feature recognition were selected for comparison experiments, including DGC-3D-CNN [28], DIS-O [29], LGFEN [30], and TAN [31]. It should be noted that the sizes of the sliding windows w of the selected models were 7, 5, 15 and 9, respectively, and the experimental results are shown in Table 3. From the table, it can be seen that the proposed SN_DGCN model had the best classiﬁcation performance, which further proves the ability of the SN_DGCN model to identify desert grassland vegetation communities",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Identification and Classification of Small Sample Desert Grassland Vegetation Communities Based on Dynamic Graph Convolution and UAV Hyperspectral Imagery,Reference 2,"In order to better evaluate the classiﬁcation effect of the SN_DGCN classiﬁcation model in practical application, three community sample areas of dominant species, constructive species, and companion species were visualized for classiﬁcation, as are shown in Figure 10. After comparing with the ground survey records, the spatial distribution between each ground object matched the actual distribution, which shows that the algorithm in this paper has good generalization ability and is advantageous in the task of the classiﬁcation of vegetation communities in desert steppes.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Mapping Key Indicators of Forest Restoration in the Amazon Using a Low-Cost Drone and Artificial Intelligence,Reference 1,"Vismia mapping was challenging because: (1) Vismia’s crown edges were not easily identiﬁable via photointerpretation due to an irregular overlap between two or more individuals; and (2) the Vismia site did not contain many Vismia individuals (as did the Cecropia site for Cecropia individuals); thus, fewer samples were available. Regarding the All Trees mapping in the Cecropia site and in the Diverse site, results were accurate.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Reference 1,"Overall accuracy at a site with low species diversity (n = 4) was 70%, which is an encouraging result given the imagery is limited to visible spectral bands",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,Reference 2,"Another example of species which share similar growth forms are the grasses T. plurinervata and C. ciliaris. Grouping herbs and grasses into a single class can still provide information on plant responses after species translocation and may improve the accuracy of environmental monitoring using RPA imagery [71,72].",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Mechanical Harvesting Effectively Controls Young Typha spp. Invasion and Unmanned Aerial Vehicle Data Enhances Post-treatment Monitoring,Reference 1,"Particularly useful were the vegetation land cover categories derived from NDVI values (green tissue, brown tissue), which compared well with ﬁeld measures (total vegetation cover and detritus; Table 6)",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
MONITORING PHENOLOGY OF FLOODPLAIN GRASSLAND AND HERBACEOUS VEGETATION WITH UAV IMAGERY,Reference 1,"The hysteresis described in the introduction can be observed from figure 4. Note that the y-axis is Hv,observed to exclude prediction errors in height. For grassland the increase in NDVI clearly precedes the increase in height, but height takes place simultaneously with the decrease in NDVI. For herbaceous vegetation, the first phase is the decrease in height due the shift from high senescent vegetation to low new vegetation accompanied by an increase in NDVI. In most plots, the subsequent increase in height and NDVI takes until September. The final phase shows an overall decrease in NDVI, while the vegetation height remains at almost its maximum value.",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Reference 1,"Besides canopy height models, the inclusion of MS UAV data was mandatory to attain desirable outputs (OA = 83.67% ± 3.06%), in comparison with RGB spectral data (OA = 74.33% ± 3.21%) dealing with fine scale object-based image classification under high vegetation complexity. Likewise, PA and UA of each plant species were higher using MS-CHM (71%–96%) than RGB-CHM (58%–78%) as input data. In these scenarios, the higher spatial resolution of RGB sensors cannot overcome their lack of spectral information as compared to MS sensors",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Reference 2,"The agreement between field measurements of vegetation cover and mean height, and those derived from the UAV classified map and the CHM, respectively, was markedly high (R2 > 0.86 and RMSE <6.36% and R2 > 0.70 and RMSE <28.24 cm), in line with previous studies with similar UAV imagery acquisition conditions (flight height above 90 m AGL and along-track/cross-track overlap higher than 75%) in heterogeneous shrublands (Fraser et al., 2016; Yang et al., 2021) and complex agricultural systems (Han et al., 2018).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,Reference 1,"The AGB were significantly correlated (p < 0.001) with one lidar-derived variable (CH, r2 = 0.81), and three HIS-derived VIs (RVSI, r2 = 0.78; EVI, r2 = 0.76; and CARI, r2 = 0.77) (Figure S2).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Monitoring restored tropical forest diversity and structure through UAV-borne hyperspectral and lidar fusion,Reference 2,"The AGB predictions performed by the structural attribute derived from lidar (canopy height) did better than that of HSI-derived VIs. Lidar sensors have been shown to be the best tool for AGB estimates, especially in dense tropical rainforests (Wulder et al. 2012",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
Monitoring the colonization of alluvial deposits using multitemporal UAV RGB-imagery,Reference 1,"Vegetation cover maps were highly accurate (Table 2), indicating the potentialities of UAV RGB images to distinguish vegetation from bare soil. The high accuracy of vegetation maps we produced agrees with the results of Kaneko and Nohara (2014), who mapped herbaceous communities with the same UAV and camera. This result is also in accordance with those of Corenblit et al. (2010) and Hervouet et al. (2011) who mapped pioneer vegetation patches with RGB images (aerial and UAV images, respectively).",Drone studies,QUALITY,ACC (Accuracy of information),ACC - Positive sentiment
