,document_id,attribute,code_lev1,code_lev2,snippet_left,snippet_right,group_folder
1058,The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,"Productivity
(Health/Biomass)",Novelty,Positive sentiment,analyses of trait based metrics can be more informative than community composition because they can provide functional explanations for why certain species change in abundance  hedberg et al  2013   and changes in composition are less deterministic than changes in functional traits,analyses of trait based metrics can be more informative than community composition because they can provide functional explanations for why certain species change in abundance  hedberg et al  2013   and changes in composition are less deterministic than changes in functional traits,Field-based studies
1056,The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,"Plant func. type
composition",Decision support,Postive sentiment,analyses of trait based metrics can be more informative than community composition because they can provide functional explanations for why certain species change in abundance  hedberg et al  2013   and changes in composition are less deterministic than changes in functional traits,analyses of trait based metrics can be more informative than community composition because they can provide functional explanations for why certain species change in abundance  hedberg et al  2013   and changes in composition are less deterministic than changes in functional traits,Field-based studies
519,Adaptive Cluster Sampling in the Context of Restoration,Fractional veg. cover,Novelty,Positive sentiment,and the clusters are few and far between  acs should capture a higher fraction of individuals in the population  smith et al  2004   land managers naturally want to see the sampling focus where the target species is most abundant  unfortunately  better detection rate does not necessarily provide more precise estimates  noon et al  2006  goldberg et al  2007,and the clusters are few and far between  acs should capture a higher fraction of individuals in the population  smith et al  2004   land managers naturally want to see the sampling focus where the target species is most abundant  unfortunately  better detection rate does not necessarily provide more precise estimates  noon et al  2006  goldberg et al  2007,Field-based studies
524,Adaptive Cluster Sampling in the Context of Restoration,"Individuals
(Indicators/Invasives)",Novelty,Positive sentiment,and the clusters are few and far between  acs should capture a higher fraction of individuals in the population  smith et al  2004   land managers naturally want to see the sampling focus where the target species is most abundant  unfortunately  better detection rate does not necessarily provide more precise estimates  noon et al  2006  goldberg et al  2007,and the clusters are few and far between  acs should capture a higher fraction of individuals in the population  smith et al  2004   land managers naturally want to see the sampling focus where the target species is most abundant  unfortunately  better detection rate does not necessarily provide more precise estimates  noon et al  2006  goldberg et al  2007,Field-based studies
1361,Mapping Restoration Activities on Dirk Hartog Island Using Remotely Piloted Aircraft Imagery,"Plant func. type
composition",Uncertainty,Positive sentiment,another example of species which share similar growth forms are the grasses t  plurinervata and c  ciliaris  grouping herbs and grasses into a single class can still provide information on plant responses after species translocation and may improve the accuracy of environmental monitoring using rpa imagery  71 72,another example of species which share similar growth forms are the grasses t  plurinervata and c  ciliaris  grouping herbs and grasses into a single class can still provide information on plant responses after species translocation and may improve the accuracy of environmental monitoring using rpa imagery  71 72,Drone-assisted studies
1398,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,"Plant func. type
composition",Uncertainty,Positive sentiment,as shown in table 4  the performance of ﬁve machine learning algorithms  based on 53 original features  was compared through the overall accuracy and the kappa coefﬁcient  it was found that the performance of rf provided a higher classiﬁcation accuracy compared to the other corresponding models  which had an overall accuracy of 89 76  and a kappa coefﬁcient of 0 88  dt  svm  and bayes provided an overall accuracy greater than 84   and knn had the worst classiﬁcation effect  with an overall accuracy lower than 60,as shown in table 4  the performance of ﬁve machine learning algorithms  based on 53 original features  was compared through the overall accuracy and the kappa coefﬁcient  it was found that the performance of rf provided a higher classiﬁcation accuracy compared to the other corresponding models  which had an overall accuracy of 89 76  and a kappa coefﬁcient of 0 88  dt  svm  and bayes provided an overall accuracy greater than 84   and knn had the worst classiﬁcation effect  with an overall accuracy lower than 60,Drone-assisted studies
1399,Object-Based Wetland Vegetation Classification Using Multi-Feature Selection of Unoccupied Aerial Vehicle RGB Imagery,Species composition,Uncertainty,Positive sentiment,as shown in table 4  the performance of ﬁve machine learning algorithms  based on 53 original features  was compared through the overall accuracy and the kappa coefﬁcient  it was found that the performance of rf provided a higher classiﬁcation accuracy compared to the other corresponding models  which had an overall accuracy of 89 76  and a kappa coefﬁcient of 0 88  dt  svm  and bayes provided an overall accuracy greater than 84   and knn had the worst classiﬁcation effect  with an overall accuracy lower than 60,as shown in table 4  the performance of ﬁve machine learning algorithms  based on 53 original features  was compared through the overall accuracy and the kappa coefﬁcient  it was found that the performance of rf provided a higher classiﬁcation accuracy compared to the other corresponding models  which had an overall accuracy of 89 76  and a kappa coefﬁcient of 0 88  dt  svm  and bayes provided an overall accuracy greater than 84   and knn had the worst classiﬁcation effect  with an overall accuracy lower than 60,Drone-assisted studies
1534,Monitoring the structure of regenerating vegetation using drone-based digital aerial photogrammetry,Vegetation structure,RELI - (Information acquistion reliant on...),Veg density,automated ground ﬁltering can become problematic in densely vegetated areas  30 74  which could explain the large normalized rmse found for graminoids,automated ground ﬁltering can become problematic in densely vegetated areas  30 74  which could explain the large normalized rmse found for graminoids,Drone-assisted studies
1006,Multiscale Invasive Plant Monitoring~ Experiences from the Greater Everglades Restoration Area,"Individuals
(Indicators/Invasives)",Complexity,Positive sentiment,beginning in 2008  everglades cisma partners began utilizing digital aerial sketch mapping  dasm  as a cost effective means of detecting and mapping infestations of priority weeds at a landscape scale  in subsequent years  everglades cisma partners implemented additional monitoring and data sharing methods to address additional monitoring needs  such as early detection of new invaders and detailed mapping for planned management actions  this article summarizes the recent efforts to utilize dasm and other monitoring tools within a multiscale approach and discusses strategies and protocols aimed at providing affordable and timely spatial information meeting multiple invasive plant monitoring objectives,beginning in 2008  everglades cisma partners began utilizing digital aerial sketch mapping  dasm  as a cost effective means of detecting and mapping infestations of priority weeds at a landscape scale  in subsequent years  everglades cisma partners implemented additional monitoring and data sharing methods to address additional monitoring needs  such as early detection of new invaders and detailed mapping for planned management actions  this article summarizes the recent efforts to utilize dasm and other monitoring tools within a multiscale approach and discusses strategies and protocols aimed at providing affordable and timely spatial information meeting multiple invasive plant monitoring objectives,Field-based studies
268,Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Species composition,SENS (Drone sensor),Multispec.,besides canopy height models  the inclusion of ms uav data was mandatory to attain desirable outputs  oa   83 67    3 06    in comparison with rgb spectral data  oa   74 33    3 21   dealing with fine scale object based image classification under high vegetation complexity  likewise  pa and ua of each plant species were higher using ms chm  71  96   than rgb chm  58  78   as input data  in these scenarios  the higher spatial resolution of rgb sensors cannot overcome their lack of spectral information as compared to ms sensors,besides canopy height models  the inclusion of ms uav data was mandatory to attain desirable outputs  oa   83 67    3 06    in comparison with rgb spectral data  oa   74 33    3 21   dealing with fine scale object based image classification under high vegetation complexity  likewise  pa and ua of each plant species were higher using ms chm  71  96   than rgb chm  58  78   as input data  in these scenarios  the higher spatial resolution of rgb sensors cannot overcome their lack of spectral information as compared to ms sensors,Drone-assisted studies
261,Monitoring post-fire neighborhood competition effects on pine saplings under different environmental conditions by means of UAV multispectral data and structure-from-motion photogrammetry,Species composition,Uncertainty,Positive sentiment,besides canopy height models  the inclusion of ms uav data was mandatory to attain desirable outputs  oa   83 67    3 06    in comparison with rgb spectral data  oa   74 33    3 21   dealing with fine scale object based image classification under high vegetation complexity  likewise  pa and ua of each plant species were higher using ms chm  71  96   than rgb chm  58  78   as input data  in these scenarios  the higher spatial resolution of rgb sensors cannot overcome their lack of spectral information as compared to ms sensors,besides canopy height models  the inclusion of ms uav data was mandatory to attain desirable outputs  oa   83 67    3 06    in comparison with rgb spectral data  oa   74 33    3 21   dealing with fine scale object based image classification under high vegetation complexity  likewise  pa and ua of each plant species were higher using ms chm  71  96   than rgb chm  58  78   as input data  in these scenarios  the higher spatial resolution of rgb sensors cannot overcome their lack of spectral information as compared to ms sensors,Drone-assisted studies
1118,Comparison of leaf-off and leaf-on combined UAV imagery and airborne LiDAR for assessment of a post-mining site terrain and vegetation structure~ Prospects for monitoring hazards and restoration success,Topography,Complexity,Positive sentiment,besides the evaluation of the digital terrain models  we also in  vestigated the possibility of replacing costly lidar data with a combination of sfm data acquired from leaf off and leaf on imagery  our results suggest that at least for some applications  e g  calculation of vegetation structure characteristics often used to measure restoration success,besides the evaluation of the digital terrain models  we also in  vestigated the possibility of replacing costly lidar data with a combination of sfm data acquired from leaf off and leaf on imagery  our results suggest that at least for some applications  e g  calculation of vegetation structure characteristics often used to measure restoration success,Drone-assisted studies
1051,The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,Species richness,Uncertainty,Positive sentiment,biomass and species richness were the two most predictable and least variable measures of success,biomass and species richness were the two most predictable and least variable measures of success,Field-based studies
1061,The hierarchy of predictability in ecological restoration~ are vegetation structure and functional diversity more predictable than community composition~,"Productivity
(Health/Biomass)",Uncertainty,Positive sentiment,biomass and species richness were the two most predictable and least variable measures of success,biomass and species richness were the two most predictable and least variable measures of success,Field-based studies
494,Using lightweight unmanned aerial vehicles to monitor tropical forest recovery,"Productivity
(Health/Biomass)",Complexity,Positive sentiment,both models showed strong correlations with ﬁeld based above ground biomass estimations  suggesting that the methodology could be used to estimate carbon accumulation in recovering habitats  this is an important result given the need for cost effective ways for land owners to estimate carbon storage and verify the efﬁcacy of redd   programs,both models showed strong correlations with ﬁeld based above ground biomass estimations  suggesting that the methodology could be used to estimate carbon accumulation in recovering habitats  this is an important result given the need for cost effective ways for land owners to estimate carbon storage and verify the efﬁcacy of redd   programs,Drone-assisted studies
1624,"Monitoring Vegetation Dynamics at a Tidal Marsh Restoration Site~ Integrating Field Methods, Remote Sensing and Modeling",Spatial mosaic,Novelty,Positive sentiment,but uas provide a complementary landscape perspective,but uas provide a complementary landscape perspective,Drone-assisted studies
1146,Detection and Quantification of Forest-Agriculture Ecotones Caused by Returning Farmland to Forest Program Using Unmanned Aircraft Imagery,"Plant func. type
composition",SENS (Drone sensor),RGB,by contrast  uas has the advantages of ﬂexibility and controllability  image data obtained through this method have various characteristics  including being regionalized  customized  and personalized  in addition to satisfying various research requirements  the cost of using this method is also generally acceptable to most research organizations and teams,by contrast  uas has the advantages of ﬂexibility and controllability  image data obtained through this method have various characteristics  including being regionalized  customized  and personalized  in addition to satisfying various research requirements  the cost of using this method is also generally acceptable to most research organizations and teams,Drone-assisted studies
1145,Detection and Quantification of Forest-Agriculture Ecotones Caused by Returning Farmland to Forest Program Using Unmanned Aircraft Imagery,"Plant func. type
composition",Complexity,Positive sentiment,by contrast  uas has the advantages of ﬂexibility and controllability  image data obtained through this method have various characteristics  including being regionalized  customized  and personalized  in addition to satisfying various research requirements  the cost of using this method is also generally acceptable to most research organizations and teams,by contrast  uas has the advantages of ﬂexibility and controllability  image data obtained through this method have various characteristics  including being regionalized  customized  and personalized  in addition to satisfying various research requirements  the cost of using this method is also generally acceptable to most research organizations and teams,Drone-assisted studies
